Operator,2024,2025,Difference,Pct Change
1876 RESOURCES LLC,294.0,,,
AMERICAN HELIUM LLC,,0.0,,
ANADARKO,0.0,42.0,42.0,inf
BAYSWATER EXPLORATION & PRODUCTION LLC,420.0,,,
BEHRENS RESOURCES INC,,294.0,,
BENSON-MONTIN-GREER DRILLING CORPORATION,0.0,,,
BISON IV OPERATING LLC,882.0,2940.0,2058.0,2.3333333333333335
BLUE CHIP OIL INC,0.0,,,
BONANZA CREEK ENERGY OPERATING COMPANY LLC,1680.0,4704.0,3024.0,1.8
CAERUS PICEANCE LLC,49518.0,714.0,-48804.0,-0.9855810008481765
CITATION OIL & GAS CORP,12600.0,882.0,-11718.0,-0.93
CIVITAS NORTH LLC,,0.0,,
COLORADO INTERSTATE GAS COMPANY LLC,,210.0,,
CRESTONE PEAK RESOURCES OPERATING LLC,2100.0,1596.0,-504.0,-0.24
DCP OPERATING COMPANY LP,336.0,4200.0,3864.0,11.5
DESERT EAGLE OPERATING LLC,0.0,,,
EDGE ENERGY II LLC,546.0,,,
ENTEK GRB LLC,0.0,,,
EVERGREEN NATURAL RESOURCES LLC,336.0,1848.0,1512.0,4.5
EXTRACTION OIL & GAS INC,1806.0,0.0,-1806.0,-1.0
FAHEY OIL & GAS,,0.0,,
FOUNDATION ENERGY MANAGEMENT LLC,0.0,,,
FRITZ & DIGMAN INC,210.0,,,
FRITZLER RESOURCES INC,,0.0,,
FULCRUM ENERGY OPERATING LLC,11592.0,4536.0,-7056.0,-0.6086956521739131
FUNDARE RESOURCES OPERATING COMPANY LLC,24570.0,8064.0,-16506.0,-0.6717948717948717
GILBERT-STEWART OPERATING LLC,126.0,,,
GRAND MESA OPERATING CO,,420.0,,
GRAND RIVER GATHERING LLC,0.0,0.0,0.0,
GUNNISON ENERGY LLC,2016.0,,,
HARVEST FOUR CORNERS LLC,0.0,,,
HIGHPOINT OPERATING CORPORATION,3654.0,420.0,-3234.0,-0.8850574712643678
HILCORP ENERGY COMPANY,2478.0,126.0,-2352.0,-0.9491525423728814
INVESTMENT EQUIPMENT LLC,,0.0,,
KERR MCGEE,26502.0,25494.0,-1008.0,-0.03803486529318542
KINDER MORGAN CO2 COMPANY LLC,798.0,,,
KP KAUFFMAN COMPANY INC,2058.0,4284.0,2226.0,1.0816326530612246
LARAMIE ENERGY LLC,8484.0,42210.0,33726.0,3.9752475247524752
LOCIN OIL CORPORATION,,5754.0,,
LOGOS OPERATING LLC,,0.0,,
LONGS PEAK RESOURCES LLC,336.0,,,
MAGPIE OPERATING INC,,0.0,,
MARALEX RESOURCES INC,0.0,,,
MDS ENERGY DEVELOPMENT LLC,,126.0,,
MESSER LLC,,1302.0,,
MONUMENT GLOBAL RESOURCES INC,,0.0,,
MULL DRILLING COMPANY INC,1050.0,,,
NGL WATER SOLUTIONS DJ LLC,14700.0,31458.0,16758.0,1.14
NICKEL ROAD OPERATING LLC,1680.0,,,
NOBLE,16422.0,28476.0,12054.0,0.7340153452685422
NUEVIDA RESOURCES LLC,0.0,,,
OGRIS OPERATING LLC,42.0,,,
OMIMEX PETROLEUM INC,,0.0,,
ORGANIC ENERGY COMPANY LLC,294.0,,,
OWN RESOURCES OPERATING LLC,0.0,882.0,882.0,inf
PAINTED PEGASUS PETROLEUM LLC,0.0,84.0,84.0,inf
PDC ENERGY INC,32046.0,26208.0,-5838.0,-0.182175622542595
PETRO OPERATING COMPANY LLC,1470.0,2940.0,1470.0,1.0
POC-I LLC,42.0,,,
POLARIS PRODUCTION OPCO LLC,13230.0,,,
PRAIRIE OPERATING CO LLC,0.0,1428.0,1428.0,inf
QB ENERGY OPERATING LLC,,445284.0,,
RED ROCK GATHERING COMPANY LLC,0.0,0.0,0.0,
RENEGADE OIL & GAS COMPANY LLC,0.0,0.0,0.0,
ROCKY MOUNTAIN MIDSTREAM LLC,,0.0,,
SCHMID PROPERTIES INC,0.0,0.0,0.0,
SCHNEIDER ENERGY SERVICES INC,420.0,,,
SCOUT ENERGY MANAGEMENT LLC,155526.0,57078.0,-98448.0,-0.6330002700513098
SG INTERESTS I LTD,,378.0,,
SHAWNEE OIL DEVELOPMENT CO INC,0.0,,,
SIMCOE LLC,1596.0,0.0,-1596.0,-1.0
SMITH OIL PROPERTIES INC,,0.0,,
STRACHAN EXPLORATION INC,0.0,0.0,0.0,
SUMMIT DJ-S LLC,,0.0,,
TALLGRASS WATER WESTERN LLC,14700.0,,,
TAPROOT ROCKIES MIDSTREAM LLC,10290.0,7140.0,-3150.0,-0.30612244897959184
TEP ROCKY MOUNTAIN LLC,4200.0,67284.0,63084.0,15.02
UTAH GAS OP LTD DBA UTAH GAS CORP,42.0,3780.0,3738.0,89.0
VERDAD RESOURCES LLC,4956.0,4284.0,-672.0,-0.13559322033898305
WAVETECH HELIUM INC,,0.0,,
WELLINGTON OPERATING COMPANY,0.0,,,
WESCO OPERATING INC,0.0,168.0,168.0,inf
WESTERN OPERATING COMPANY,10080.0,,,
WEXPRO COMPANY,0.0,1386.0,1386.0,inf
WILLIAMS FRONT RANGE LLC,,588.0,,
WILLIFORD ENERGY COMPANY,0.0,0.0,0.0,
WOLVERINE RESOURCES LLC,0.0,,,
WY WOODLAND OPERATING LLC,,5460.0,,
YOUNG GAS STORAGE COMPANY LTD,0.0,,,
