Operator,Tracking #
QB ENERGY OPERATING LLC,46
KERR MCGEE,35
PDC ENERGY INC,30
NOBLE,29
TEP ROCKY MOUNTAIN LLC,15
DCP OPERATING COMPANY LP,13
BISON IV OPERATING LLC,13
KP KAUFFMAN COMPANY INC,13
LARAMIE ENERGY LLC,11
FULCRUM ENERGY OPERATING LLC,8
EVERGREEN NATURAL RESOURCES LLC,8
PAINTED PEGASUS PETROLEUM LLC,8
SIMCOE LLC,8
BONANZA CREEK ENERGY OPERATING COMPANY LLC,7
OWN RESOURCES OPERATING LLC,7
SCOUT ENERGY MANAGEMENT LLC,5
HIGHPOINT OPERATING CORPORATION,5
FUNDARE RESOURCES OPERATING COMPANY LLC,5
CAERUS PICEANCE LLC,5
VERDAD RESOURCES LLC,5
PRAIRIE OPERATING CO LLC,4
CRESTONE PEAK RESOURCES OPERATING LLC,4
NGL WATER SOLUTIONS DJ LLC,4
EXTRACTION OIL & GAS INC,3
WILLIFORD ENERGY COMPANY,3
WEXPRO COMPANY,3
RED ROCK GATHERING COMPANY LLC,3
UTAH GAS OP LTD DBA UTAH GAS CORP,3
ANADARKO,3
TAPROOT ROCKIES MIDSTREAM LLC,2
HILCORP ENERGY COMPANY,2
CITATION OIL & GAS CORP,2
MDS ENERGY DEVELOPMENT LLC,2
FRITZLER RESOURCES INC,1
LOGOS OPERATING LLC,1
LOCIN OIL CORPORATION,1
INVESTMENT EQUIPMENT LLC,1
BEHRENS RESOURCES INC,1
CIVITAS NORTH LLC,1
COLORADO INTERSTATE GAS COMPANY LLC,1
AMERICAN HELIUM LLC,1
DUNAMIS ENERGY OPERATING LLC,1
FAHEY OIL & GAS,1
GRAND MESA OPERATING CO,1
GRAND RIVER GATHERING LLC,1
MAGPIE OPERATING INC,1
SCHMID PROPERTIES INC,1
RENEGADE OIL & GAS COMPANY LLC,1
ROCKY MOUNTAIN MIDSTREAM LLC,1
MONUMENT GLOBAL RESOURCES INC,1
MESSER LLC,1
OMIMEX PETROLEUM INC,1
PETRO OPERATING COMPANY LLC,1
STRACHAN EXPLORATION INC,1
SUMMIT DJ-S LLC,1
SG INTERESTS I LTD,1
SMITH OIL PROPERTIES INC,1
WESCO OPERATING INC,1
WAVETECH HELIUM INC,1
WILLIAMS FRONT RANGE LLC,1
WY WOODLAND OPERATING LLC,1
